Vivado Simulator 2017.1
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb.uut.inst_rom_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb.uut.data_ram_module.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 648595000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 655535000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 655545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 662485000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 662495000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 669435000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 669445000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 676385000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 676395000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 683335000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 683345000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 690285000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 690295000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 697235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 697245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 704185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 704195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 711135000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 711145000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 718085000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 718095000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 725035000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 725045000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 731985000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 731995000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 738935000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 738945000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 745885000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 745895000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 752835000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 752845000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 759785000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 759795000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 766735000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 766745000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 773685000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 773695000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 780635000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 780645000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 787585000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 787595000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 794535000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 794545000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 801485000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 801495000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 808435000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 808445000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 815385000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 815395000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 822335000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 822345000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 829285000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 829295000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 836235000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 836245000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 843185000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 843195000, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 850135000, A write address: 0, B  read address: 0
